[0.02, -0.03, -0.01, 0.32, -0.15, -0.13, 0.0, -0.44, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.02, -0.03, -0.01, 0.32, 0.42, -0.14, 0.06, -0.83, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.03, -0.03, -0.01, 0.32, 0.96, -0.14, -0.05, -0.77, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.03, -0.03, -0.01, 0.32, 1.11, -0.14, 0.0, -0.09, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.02, -0.06, -0.01, 0.34, 1.69, -0.18, 0.04, 0.22, 0.02, -0.05, -0.08, -0.12] ; 0.001
[0.02, -0.03, -0.01, 0.32, -0.15, -0.13, 0.0, -0.44, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.02, -0.03, -0.01, 0.32, 0.42, -0.14, 0.06, -0.83, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.03, -0.03, -0.01, 0.32, 0.96, -0.14, -0.05, -0.77, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.03, -0.03, -0.01, 0.32, 1.11, -0.14, 0.0, -0.09, 0.01, -0.04, -0.04, -0.1] ; 0.0001
[0.02, -0.06, -0.01, 0.34, 1.69, -0.18, 0.04, 0.22, 0.02, -0.05, -0.08, -0.12] ; 0.001
[0.39, -0.0, -0.58, 0.29, 1.64, 0.29, -1.23, -0.2, -0.86, -0.12, 0.98, -0.11]
